Player,FG%,Rebounds,Assists,Steals,Blocks,Points,AllNBAFirst,AllNBASecond,AllNBAThird,AllDefenceFirst,AllDefenceSecond,AllDefenceThird,AllStarMVP,ROTY,DPOY,SMOTY,TMOTY,ScoringTitle,FMVP,MVP,YearsPro
Tyrese Haliburton,0.472,3,5.3,1.3,0.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kyle Kuzma,0.443,6.1,1.9,0.5,0.6,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Brandon Ingram,0.466,4.9,4.9,0.7,0.6,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Collin Sexton,0.475,3.1,4.4,1,0.2,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Jaylen Brown,0.484,6,3.4,1.2,0.6,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Dejounte Murray,0.453,7.1,5.4,1.5,0.1,15.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Bradley Beal,0.485,4.7,4.4,1.2,0.4,31.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
Kyrie Irving,0.506,4.8,6,1.4,0.7,26.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10
Mike Conley,0.444,3.5,6,1.4,0.2,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Rui Hachimura,0.478,5.5,1.4,0.8,0.1,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kevin Huerter,0.432,3.3,3.5,1.2,0.3,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Lonzo Ball,0.414,4.8,5.7,1.5,0.6,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Malcolm Brogdon,0.453,5.3,5.9,0.9,0.3,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Lou Williams,0.41,2.1,3.4,0.7,0.1,11.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16
Kentavious Caldwell-Pope,0.431,2.7,1.9,0.9,0.4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Danny Green,0.412,3.8,1.7,1.3,0.8,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
James Harden,0.471,8.5,10.9,1.3,0.8,24.6,3,0,0,0,0,0,0,0,0,0,0,3,0,1,12
RJ Barrett,0.441,5.8,3,0.7,0.3,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Deandre Ayton,0.626,10.5,1.4,0.6,1.2,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Donte DiVincenzo,0.42,5.8,3.1,1.1,0.2,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Donovan Mitchell,0.438,4.4,5.2,1,0.3,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
